SH, 01, 2013102800, 03, NG02, 024, 113S,  570E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG02, 030, 110S,  555E,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG02, 036, 109S,  540E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG02, 042, 103S,  528E,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG02, 048, 100S,  513E,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG02, 054,  96S,  501E,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG02, 060,  96S,  485E,  12, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG02, 066,  96S,  473E,  12, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 000, 124S,  621E,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 006, 127S,  611E,  27, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 012, 129S,  600E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 018, 127S,  587E,  24, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 024, 129S,  572E,  22, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 030, 129S,  558E,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 036, 130S,  541E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 042, 132S,  527E,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 048, 128S,  516E,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 054, 129S,  501E,  12, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 060, 146S,  482E,  10, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 01, 2013102800, 03, NG03, 066, 162S,  479E,  11, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
