WP, 95, 2013090918, 03, HWRF, 000, 154N, 1486E,  18, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  86
WP, 95, 2013090918, 03, HWRF, 006, 162N, 1481E,  41, 1008, XX,  34, NEQ, 0000, 0000, 0039, 0000,    0,    0,  36
WP, 95, 2013090918, 03, HWRF, 012, 172N, 1484E,  35, 1004, XX,  34, NEQ, 0000, 0022, 0000, 0000,    0,    0,  20
WP, 95, 2013090918, 03, HWRF, 018, 185N, 1489E,  33, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  27
WP, 95, 2013090918, 03, HWRF, 024, 197N, 1491E,  35,  999, XX,  34, NEQ, 0000, 0021, 0000, 0202,    0,    0,  21
WP, 95, 2013090918, 03, HWRF, 030, 208N, 1488E,  44, 1001, XX,  34, NEQ, 0095, 0055, 0000, 0000,    0,    0,  32
WP, 95, 2013090918, 03, HWRF, 036, 217N, 1478E,  44,  995, XX,  34, NEQ, 0070, 0045, 0000, 0000,    0,    0,  30
WP, 95, 2013090918, 03, HWRF, 042, 220N, 1467E,  48,  993, XX,  34, NEQ, 0076, 0083, 0000, 0067,    0,    0,  25
WP, 95, 2013090918, 03, HWRF, 048, 221N, 1458E,  47,  990, XX,  34, NEQ, 0140, 0043, 0015, 0061,    0,    0,  23
WP, 95, 2013090918, 03, HWRF, 054, 223N, 1452E,  53,  984, XX,  34, NEQ, 0138, 0034, 0022, 0108,    0,    0,  26
WP, 95, 2013090918, 03, HWRF, 054, 223N, 1452E,  53,  984, XX,  50, NEQ, 0030, 0000, 0000, 0000,    0,    0,  26
WP, 95, 2013090918, 03, HWRF, 060, 228N, 1444E,  58,  978, XX,  34, NEQ, 0252, 0047, 0051, 0104,    0,    0,  16
WP, 95, 2013090918, 03, HWRF, 060, 228N, 1444E,  58,  978, XX,  50, NEQ, 0025, 0017, 0000, 0033,    0,    0,  16
WP, 95, 2013090918, 03, HWRF, 066, 228N, 1436E,  67,  974, XX,  34, NEQ, 0278, 0051, 0083, 0150,    0,    0,  14
WP, 95, 2013090918, 03, HWRF, 066, 228N, 1436E,  67,  974, XX,  50, NEQ, 0044, 0000, 0029, 0056,    0,    0,  14
WP, 95, 2013090918, 03, HWRF, 066, 228N, 1436E,  67,  974, XX,  64, NEQ, 0017, 0000, 0000, 0019,    0,    0,  14
WP, 95, 2013090918, 03, HWRF, 072, 228N, 1427E,  69,  963, XX,  34, NEQ, 0152, 0084, 0070, 0180,    0,    0,  18
