WP, 17, 2013091618, 03, HWRF, 114, 212N, 1230E, 109,  928, XX,  64, NEQ, 0088, 0088, 0091, 0090,    0,    0,  37
WP, 17, 2013091618, 03, HWRF, 120, 217N, 1225E, 105,  931, XX,  34, NEQ, 0205, 0174, 0237, 0275,    0,    0,  36
WP, 17, 2013091618, 03, HWRF, 120, 217N, 1225E, 105,  931, XX,  50, NEQ, 0120, 0101, 0098, 0113,    0,    0,  36
WP, 17, 2013091618, 03, HWRF, 120, 217N, 1225E, 105,  931, XX,  64, NEQ, 0086, 0083, 0084, 0091,    0,    0,  36
WP, 17, 2013091618, 03, HWRF, 126, 219N, 1218E, 102,  936, XX,  34, NEQ, 0184, 0194, 0284, 0245,    0,    0,  35
WP, 17, 2013091618, 03, HWRF, 126, 219N, 1218E, 102,  936, XX,  50, NEQ, 0111, 0107, 0104, 0177,    0,    0,  35
WP, 17, 2013091618, 03, HWRF, 126, 219N, 1218E, 102,  936, XX,  64, NEQ, 0091, 0069, 0068, 0087,    0,    0,  35
WP, 17, 2013091700, 03, HWRF, 000, 175N, 1316E,  29, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  94
WP, 17, 2013091700, 03, HWRF, 006, 176N, 1310E,  33,  998, XX,  34, NEQ, 0176, 0000, 0000, 0000,    0,    0,  94
WP, 17, 2013091700, 03, HWRF, 012, 173N, 1308E,  42,  996, XX,  34, NEQ, 0000, 0076, 0165, 0126,    0,    0,  31
WP, 17, 2013091700, 03, HWRF, 018, 173N, 1309E,  44,  990, XX,  34, NEQ, 0103, 0086, 0138, 0000,    0,    0,  68
WP, 17, 2013091700, 03, HWRF, 024, 179N, 1306E,  41,  989, XX,  34, NEQ, 0098, 0124, 0169, 0071,    0,    0,  88
WP, 17, 2013091700, 03, HWRF, 030, 176N, 1294E,  49,  985, XX,  34, NEQ, 0151, 0139, 0122, 0151,    0,    0,  88
WP, 17, 2013091700, 03, HWRF, 036, 174N, 1291E,  49,  985, XX,  34, NEQ, 0200, 0150, 0146, 0179,    0,    0,  71
WP, 17, 2013091700, 03, HWRF, 042, 172N, 1287E,  64,  975, XX,  34, NEQ, 0255, 0201, 0179, 0235,    0,    0,  50
WP, 17, 2013091700, 03, HWRF, 042, 172N, 1287E,  64,  975, XX,  50, NEQ, 0000, 0085, 0087, 0109,    0,    0,  50
WP, 17, 2013091700, 03, HWRF, 048, 174N, 1283E,  62,  970, XX,  34, NEQ, 0206, 0206, 0204, 0243,    0,    0,  61
WP, 17, 2013091700, 03, HWRF, 048, 174N, 1283E,  62,  970, XX,  50, NEQ, 0086, 0074, 0089, 0131,    0,    0,  61
WP, 17, 2013091700, 03, HWRF, 054, 180N, 1275E,  71,  966, XX,  34, NEQ, 0232, 0249, 0233, 0173,    0,    0,  48
WP, 17, 2013091700, 03, HWRF, 054, 180N, 1275E,  71,  966, XX,  50, NEQ, 0073, 0104, 0115, 0089,    0,    0,  48
WP, 17, 2013091700, 03, HWRF, 054, 180N, 1275E,  71,  966, XX,  64, NEQ, 0047, 0083, 0090, 0052,    0,    0,  48
WP, 17, 2013091700, 03, HWRF, 060, 182N, 1273E,  85,  958, XX,  34, NEQ, 0264, 0244, 0245, 0264,    0,    0,  53
WP, 17, 2013091700, 03, HWRF, 060, 182N, 1273E,  85,  958, XX,  50, NEQ, 0087, 0107, 0117, 0122,    0,    0,  53
WP, 17, 2013091700, 03, HWRF, 060, 182N, 1273E,  85,  958, XX,  64, NEQ, 0062, 0084, 0102, 0059,    0,    0,  53
WP, 17, 2013091700, 03, HWRF, 066, 188N, 1265E,  79,  953, XX,  34, NEQ, 0223, 0329, 0304, 0221,    0,    0,  39
WP, 17, 2013091700, 03, HWRF, 066, 188N, 1265E,  79,  953, XX,  50, NEQ, 0100, 0109, 0128, 0094,    0,    0,  39
WP, 17, 2013091700, 03, HWRF, 066, 188N, 1265E,  79,  953, XX,  64, NEQ, 0067, 0086, 0067, 0070,    0,    0,  39
WP, 17, 2013091700, 03, HWRF, 072, 193N, 1259E,  93,  949, XX,  34, NEQ, 0202, 0349, 0301, 0216,    0,    0,  45
WP, 17, 2013091700, 03, HWRF, 072, 193N, 1259E,  93,  949, XX,  50, NEQ, 0114, 0119, 0119, 0102,    0,    0,  45
WP, 17, 2013091700, 03, HWRF, 072, 193N, 1259E,  93,  949, XX,  64, NEQ, 0070, 0084, 0082, 0070,    0,    0,  45
WP, 17, 2013091700, 03, HWRF, 078, 200N, 1251E,  90,  940, XX,  34, NEQ, 0218, 0351, 0350, 0260,    0,    0,  53
WP, 17, 2013091700, 03, HWRF, 078, 200N, 1251E,  90,  940, XX,  50, NEQ, 0119, 0120, 0110, 0099,    0,    0,  53
WP, 17, 2013091700, 03, HWRF, 078, 200N, 1251E,  90,  940, XX,  64, NEQ, 0088, 0083, 0070, 0080,    0,    0,  53
WP, 17, 2013091700, 03, HWRF, 084, 204N, 1245E, 107,  934, XX,  34, NEQ, 0210, 0347, 0350, 0350,    0,    0,  34
WP, 17, 2013091700, 03, HWRF, 084, 204N, 1245E, 107,  934, XX,  50, NEQ, 0120, 0120, 0119, 0118,    0,    0,  34
WP, 17, 2013091700, 03, HWRF, 084, 204N, 1245E, 107,  934, XX,  64, NEQ, 0084, 0082, 0087, 0089,    0,    0,  34
WP, 17, 2013091700, 03, HWRF, 090, 208N, 1239E, 108,  929, XX,  34, NEQ, 0209, 0327, 0329, 0351,    0,    0,  47
WP, 17, 2013091700, 03, HWRF, 090, 208N, 1239E, 108,  929, XX,  50, NEQ, 0119, 0124, 0132, 0114,    0,    0,  47
WP, 17, 2013091700, 03, HWRF, 090, 208N, 1239E, 108,  929, XX,  64, NEQ, 0084, 0092, 0094, 0085,    0,    0,  47
WP, 17, 2013091700, 03, HWRF, 096, 212N, 1233E, 116,  927, XX,  34, NEQ, 0175, 0351, 0305, 0315,    0,    0,  49
WP, 17, 2013091700, 03, HWRF, 096, 212N, 1233E, 116,  927, XX,  50, NEQ, 0115, 0126, 0123, 0133,    0,    0,  49
WP, 17, 2013091700, 03, HWRF, 096, 212N, 1233E, 116,  927, XX,  64, NEQ, 0087, 0093, 0092, 0094,    0,    0,  49
WP, 17, 2013091700, 03, HWRF, 102, 216N, 1228E, 115,  926, XX,  34, NEQ, 0167, 0326, 0306, 0280,    0,    0,  38
WP, 17, 2013091700, 03, HWRF, 102, 216N, 1228E, 115,  926, XX,  50, NEQ, 0110, 0113, 0108, 0125,    0,    0,  38
WP, 17, 2013091700, 03, HWRF, 102, 216N, 1228E, 115,  926, XX,  64, NEQ, 0088, 0089, 0086, 0090,    0,    0,  38
WP, 17, 2013091700, 03, HWRF, 108, 220N, 1224E, 105,  932, XX,  34, NEQ, 0176, 0207, 0301, 0303,    0,    0,  39
WP, 17, 2013091700, 03, HWRF, 108, 220N, 1224E, 105,  932, XX,  50, NEQ, 0121, 0099, 0103, 0170,    0,    0,  39
WP, 17, 2013091700, 03, HWRF, 108, 220N, 1224E, 105,  932, XX,  64, NEQ, 0094, 0077, 0076, 0091,    0,    0,  39
WP, 17, 2013091700, 03, HWRF, 114, 221N, 1216E,  95,  936, XX,  34, NEQ, 0183, 0209, 0219, 0267,    0,    0,  52
WP, 17, 2013091700, 03, HWRF, 114, 221N, 1216E,  95,  936, XX,  50, NEQ, 0116, 0111, 0135, 0168,    0,    0,  52
WP, 17, 2013091700, 03, HWRF, 114, 221N, 1216E,  95,  936, XX,  64, NEQ, 0078, 0071, 0094, 0111,    0,    0,  52
WP, 17, 2013091700, 03, HWRF, 120, 222N, 1211E,  90,  944, XX,  34, NEQ, 0193, 0212, 0219, 0224,    0,    0,  57
WP, 17, 2013091700, 03, HWRF, 120, 222N, 1211E,  90,  944, XX,  50, NEQ, 0134, 0119, 0126, 0160,    0,    0,  57
WP, 17, 2013091700, 03, HWRF, 120, 222N, 1211E,  90,  944, XX,  64, NEQ, 0071, 0080, 0096, 0108,    0,    0,  57
WP, 17, 2013091700, 03, HWRF, 126, 226N, 1206E,  86,  949, XX,  34, NEQ, 0187, 0230, 0198, 0194,    0,    0,  55
WP, 17, 2013091700, 03, HWRF, 126, 226N, 1206E,  86,  949, XX,  50, NEQ, 0139, 0119, 0116, 0139,    0,    0,  55
WP, 17, 2013091700, 03, HWRF, 126, 226N, 1206E,  86,  949, XX,  64, NEQ, 0067, 0086, 0079, 0100,    0,    0,  55
WP, 17, 2013091706, 03, HWRF, 000, 175N, 1315E,  30,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  85
WP, 17, 2013091706, 03, HWRF, 006, 172N, 1309E,  44,  996, XX,  34, NEQ, 0166, 0000, 0166, 0000,    0,    0, 108
WP, 17, 2013091706, 03, HWRF, 012, 174N, 1312E,  43,  991, XX,  34, NEQ, 0131, 0080, 0135, 0000,    0,    0,  33
WP, 17, 2013091706, 03, HWRF, 018, 179N, 1306E,  40,  991, XX,  34, NEQ, 0132, 0128, 0166, 0095,    0,    0,  72
WP, 17, 2013091706, 03, HWRF, 024, 177N, 1296E,  44,  986, XX,  34, NEQ, 0210, 0149, 0107, 0142,    0,    0, 105
WP, 17, 2013091706, 03, HWRF, 030, 173N, 1294E,  49,  984, XX,  34, NEQ, 0259, 0137, 0153, 0247,    0,    0,  97
WP, 17, 2013091706, 03, HWRF, 036, 177N, 1286E,  54,  978, XX,  34, NEQ, 0253, 0198, 0177, 0212,    0,    0,  54
WP, 17, 2013091706, 03, HWRF, 036, 177N, 1286E,  54,  978, XX,  50, NEQ, 0114, 0000, 0105, 0131,    0,    0,  54
WP, 17, 2013091706, 03, HWRF, 042, 178N, 1278E,  78,  977, XX,  34, NEQ, 0268, 0187, 0185, 0237,    0,    0,  67
WP, 17, 2013091706, 03, HWRF, 042, 178N, 1278E,  78,  977, XX,  50, NEQ, 0088, 0097, 0088, 0116,    0,    0,  67
WP, 17, 2013091706, 03, HWRF, 042, 178N, 1278E,  78,  977, XX,  64, NEQ, 0000, 0078, 0000, 0000,    0,    0,  67
WP, 17, 2013091706, 03, HWRF, 048, 181N, 1271E,  73,  968, XX,  34, NEQ, 0260, 0205, 0204, 0241,    0,    0,  66
WP, 17, 2013091706, 03, HWRF, 048, 181N, 1271E,  73,  968, XX,  50, NEQ, 0101, 0112, 0097, 0119,    0,    0,  66
WP, 17, 2013091706, 03, HWRF, 048, 181N, 1271E,  73,  968, XX,  64, NEQ, 0000, 0094, 0071, 0000,    0,    0,  66
WP, 17, 2013091706, 03, HWRF, 054, 186N, 1265E,  74,  967, XX,  34, NEQ, 0268, 0209, 0199, 0252,    0,    0,  86
WP, 17, 2013091706, 03, HWRF, 054, 186N, 1265E,  74,  967, XX,  50, NEQ, 0104, 0114, 0119, 0085,    0,    0,  86
WP, 17, 2013091706, 03, HWRF, 054, 186N, 1265E,  74,  967, XX,  64, NEQ, 0081, 0098, 0000, 0000,    0,    0,  86
WP, 17, 2013091706, 03, HWRF, 060, 190N, 1261E,  72,  961, XX,  34, NEQ, 0226, 0264, 0272, 0227,    0,    0,  47
WP, 17, 2013091706, 03, HWRF, 060, 190N, 1261E,  72,  961, XX,  50, NEQ, 0109, 0104, 0127, 0104,    0,    0,  47
WP, 17, 2013091706, 03, HWRF, 060, 190N, 1261E,  72,  961, XX,  64, NEQ, 0074, 0064, 0057, 0062,    0,    0,  47
WP, 17, 2013091706, 03, HWRF, 066, 196N, 1254E,  81,  957, XX,  34, NEQ, 0219, 0209, 0220, 0214,    0,    0,  38
WP, 17, 2013091706, 03, HWRF, 066, 196N, 1254E,  81,  957, XX,  50, NEQ, 0126, 0092, 0097, 0108,    0,    0,  38
WP, 17, 2013091706, 03, HWRF, 066, 196N, 1254E,  81,  957, XX,  64, NEQ, 0081, 0060, 0080, 0081,    0,    0,  38
