AL, 97, 2014092912, 03, NG03, 012, 314N,  633W,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 018, 320N,  629W,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 024, 322N,  624W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 030, 324N,  618W,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 036, 330N,  612W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 042, 338N,  603W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 048, 345N,  593W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 054, 352N,  580W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 060, 362N,  571W,  11, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 066, 362N,  551W,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 072, 369N,  535W,  14, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 078, 376N,  535W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 084, 376N,  526W,  29, 1006, XX,  34, NEQ, 0322, 0000, 0000, 0308
AL, 97, 2014092912, 03, NG04, 000, 314N,  662W,  14, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG04, 006, 312N,  667W,  12, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG04, 012, 315N,  674W,  14, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG04, 018, 321N,  677W,  13, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG04, 024, 327N,  676W,  14, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG04, 030, 337N,  676W,  15, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG04, 036, 346N,  668W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 000, 328N,  651W,  23, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 006, 329N,  656W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 012, 336N,  656W,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 018, 343N,  659W,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 024, 357N,  655W,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 030, 371N,  650W,  30, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 036, 387N,  640W,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 042, 400N,  620W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 048, 409N,  593W,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 054, 418N,  568W,  32, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 060, 413N,  544W,  31, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 066, 420N,  519W,  31, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG05, 072, 416N,  482W,  31, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 000, 319N,  656W,  21, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 006, 322N,  659W,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 012, 329N,  661W,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 018, 339N,  662W,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 024, 349N,  658W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 030, 359N,  654W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 036, 372N,  648W,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 042, 385N,  637W,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 048, 394N,  626W,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 054, 399N,  616W,  33, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0172
AL, 97, 2014092912, 03, NG06, 060, 401N,  610W,  35, 1005, XX,  34, NEQ, 0257, 0000, 0000, 0330
AL, 97, 2014092912, 03, NG06, 066, 402N,  605W,  35, 1005, XX,  34, NEQ, 0300, 0000, 0000, 0155
AL, 97, 2014092912, 03, NG06, 072, 404N,  602W,  38, 1005, XX,  34, NEQ, 0185, 0000, 0000, 0175
AL, 97, 2014092912, 03, NG06, 078, 405N,  606W,  38, 1004, XX,  34, NEQ, 0137, 0000, 0000, 0177
AL, 97, 2014092912, 03, NG06, 084, 401N,  608W,  39, 1003, XX,  34, NEQ, 0284, 0000, 0192, 0220
AL, 97, 2014092912, 03, NG06, 090, 399N,  606W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 096, 394N,  594W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 102, 391N,  580W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 108, 391N,  567W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG06, 114, 394N,  555W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
