WP, 11, 2013080818, 03, HWRF, 000, 123N, 1359E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  74
WP, 11, 2013080818, 03, HWRF, 006, 125N, 1353E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  67
WP, 11, 2013080818, 03, HWRF, 012, 129N, 1346E,  35,  999, XX,  34, NEQ, 0051, 0000, 0000, 0000,    0,    0,  49
WP, 11, 2013080818, 03, HWRF, 018, 132N, 1341E,  42, 1000, XX,  34, NEQ, 0065, 0056, 0041, 0000,    0,    0,  45
WP, 11, 2013080818, 03, HWRF, 024, 136N, 1333E,  47,  992, XX,  34, NEQ, 0100, 0071, 0061, 0076,    0,    0,  32
WP, 11, 2013080818, 03, HWRF, 030, 139N, 1323E,  58,  988, XX,  34, NEQ, 0095, 0056, 0053, 0082,    0,    0,  21
WP, 11, 2013080818, 03, HWRF, 030, 139N, 1323E,  58,  988, XX,  50, NEQ, 0031, 0029, 0000, 0020,    0,    0,  21
WP, 11, 2013080818, 03, HWRF, 036, 142N, 1313E,  59,  979, XX,  34, NEQ, 0093, 0075, 0046, 0054,    0,    0,  23
WP, 11, 2013080818, 03, HWRF, 036, 142N, 1313E,  59,  979, XX,  50, NEQ, 0032, 0000, 0000, 0032,    0,    0,  23
WP, 11, 2013080818, 03, HWRF, 042, 146N, 1303E,  79,  977, XX,  34, NEQ, 0104, 0087, 0069, 0087,    0,    0,  20
WP, 11, 2013080818, 03, HWRF, 042, 146N, 1303E,  79,  977, XX,  50, NEQ, 0043, 0042, 0019, 0036,    0,    0,  20
WP, 11, 2013080818, 03, HWRF, 042, 146N, 1303E,  79,  977, XX,  64, NEQ, 0031, 0031, 0000, 0029,    0,    0,  20
WP, 11, 2013080818, 03, HWRF, 048, 148N, 1292E,  67,  969, XX,  34, NEQ, 0120, 0084, 0085, 0107,    0,    0,  17
WP, 11, 2013080818, 03, HWRF, 048, 148N, 1292E,  67,  969, XX,  50, NEQ, 0052, 0035, 0033, 0037,    0,    0,  17
WP, 11, 2013080818, 03, HWRF, 048, 148N, 1292E,  67,  969, XX,  64, NEQ, 0026, 0021, 0019, 0024,    0,    0,  17
WP, 11, 2013080818, 03, HWRF, 054, 154N, 1281E,  78,  969, XX,  34, NEQ, 0127, 0108, 0096, 0105,    0,    0,  25
WP, 11, 2013080818, 03, HWRF, 054, 154N, 1281E,  78,  969, XX,  50, NEQ, 0055, 0048, 0041, 0045,    0,    0,  25
WP, 11, 2013080818, 03, HWRF, 054, 154N, 1281E,  78,  969, XX,  64, NEQ, 0035, 0024, 0023, 0029,    0,    0,  25
WP, 11, 2013080818, 03, HWRF, 060, 161N, 1268E,  79,  962, XX,  34, NEQ, 0120, 0105, 0093, 0109,    0,    0,  28
WP, 11, 2013080818, 03, HWRF, 060, 161N, 1268E,  79,  962, XX,  50, NEQ, 0069, 0059, 0064, 0074,    0,    0,  28
WP, 11, 2013080818, 03, HWRF, 060, 161N, 1268E,  79,  962, XX,  64, NEQ, 0047, 0041, 0041, 0041,    0,    0,  28
WP, 11, 2013080818, 03, HWRF, 066, 167N, 1255E, 101,  957, XX,  34, NEQ, 0171, 0108, 0092, 0115,    0,    0,  26
WP, 11, 2013080818, 03, HWRF, 066, 167N, 1255E, 101,  957, XX,  50, NEQ, 0065, 0063, 0056, 0061,    0,    0,  26
WP, 11, 2013080818, 03, HWRF, 066, 167N, 1255E, 101,  957, XX,  64, NEQ, 0046, 0048, 0043, 0038,    0,    0,  26
WP, 11, 2013080818, 03, HWRF, 072, 175N, 1242E,  97,  953, XX,  34, NEQ, 0168, 0121, 0103, 0158,    0,    0,  25
WP, 11, 2013080818, 03, HWRF, 072, 175N, 1242E,  97,  953, XX,  50, NEQ, 0090, 0080, 0056, 0094,    0,    0,  25
WP, 11, 2013080818, 03, HWRF, 072, 175N, 1242E,  97,  953, XX,  64, NEQ, 0043, 0047, 0040, 0040,    0,    0,  25
WP, 11, 2013080818, 03, HWRF, 078, 182N, 1226E,  97,  956, XX,  34, NEQ, 0136, 0124, 0068, 0133,    0,    0,  27
WP, 11, 2013080818, 03, HWRF, 078, 182N, 1226E,  97,  956, XX,  50, NEQ, 0095, 0069, 0051, 0077,    0,    0,  27
WP, 11, 2013080818, 03, HWRF, 078, 182N, 1226E,  97,  956, XX,  64, NEQ, 0056, 0052, 0046, 0051,    0,    0,  27
WP, 11, 2013080818, 03, HWRF, 084, 187N, 1210E,  91,  958, XX,  34, NEQ, 0122, 0117, 0100, 0134,    0,    0,  21
WP, 11, 2013080818, 03, HWRF, 084, 187N, 1210E,  91,  958, XX,  50, NEQ, 0070, 0061, 0056, 0080,    0,    0,  21
WP, 11, 2013080818, 03, HWRF, 084, 187N, 1210E,  91,  958, XX,  64, NEQ, 0052, 0042, 0000, 0045,    0,    0,  21
WP, 11, 2013080818, 03, HWRF, 090, 188N, 1195E,  80,  961, XX,  34, NEQ, 0146, 0116, 0089, 0146,    0,    0,  29
WP, 11, 2013080818, 03, HWRF, 090, 188N, 1195E,  80,  961, XX,  50, NEQ, 0079, 0060, 0066, 0104,    0,    0,  29
WP, 11, 2013080818, 03, HWRF, 090, 188N, 1195E,  80,  961, XX,  64, NEQ, 0060, 0045, 0045, 0052,    0,    0,  29
WP, 11, 2013080818, 03, HWRF, 096, 191N, 1181E,  88,  959, XX,  34, NEQ, 0156, 0141, 0107, 0141,    0,    0,  30
WP, 11, 2013080818, 03, HWRF, 096, 191N, 1181E,  88,  959, XX,  50, NEQ, 0102, 0069, 0075, 0080,    0,    0,  30
WP, 11, 2013080818, 03, HWRF, 096, 191N, 1181E,  88,  959, XX,  64, NEQ, 0059, 0053, 0058, 0054,    0,    0,  30
WP, 11, 2013080818, 03, HWRF, 102, 196N, 1169E,  80,  961, XX,  34, NEQ, 0157, 0111, 0109, 0140,    0,    0,  37
WP, 11, 2013080818, 03, HWRF, 102, 196N, 1169E,  80,  961, XX,  50, NEQ, 0079, 0067, 0073, 0079,    0,    0,  37
WP, 11, 2013080818, 03, HWRF, 102, 196N, 1169E,  80,  961, XX,  64, NEQ, 0048, 0055, 0042, 0056,    0,    0,  37
WP, 11, 2013080818, 03, HWRF, 108, 201N, 1158E,  89,  959, XX,  34, NEQ, 0146, 0117, 0117, 0134,    0,    0,  34
WP, 11, 2013080818, 03, HWRF, 108, 201N, 1158E,  89,  959, XX,  50, NEQ, 0076, 0066, 0091, 0093,    0,    0,  34
WP, 11, 2013080818, 03, HWRF, 108, 201N, 1158E,  89,  959, XX,  64, NEQ, 0054, 0051, 0043, 0055,    0,    0,  34
WP, 11, 2013080818, 03, HWRF, 114, 203N, 1147E,  81,  962, XX,  34, NEQ, 0153, 0104, 0121, 0132,    0,    0,  33
WP, 11, 2013080818, 03, HWRF, 114, 203N, 1147E,  81,  962, XX,  50, NEQ, 0071, 0074, 0092, 0101,    0,    0,  33
WP, 11, 2013080818, 03, HWRF, 114, 203N, 1147E,  81,  962, XX,  64, NEQ, 0054, 0056, 0070, 0049,    0,    0,  33
WP, 11, 2013080818, 03, HWRF, 120, 208N, 1136E,  74,  962, XX,  34, NEQ, 0125, 0110, 0122, 0099,    0,    0,  44
WP, 11, 2013080818, 03, HWRF, 120, 208N, 1136E,  74,  962, XX,  50, NEQ, 0079, 0076, 0076, 0076,    0,    0,  44
WP, 11, 2013080818, 03, HWRF, 120, 208N, 1136E,  74,  962, XX,  64, NEQ, 0057, 0060, 0040, 0054,    0,    0,  44
WP, 11, 2013080818, 03, HWRF, 126, 210N, 1125E,  88,  963, XX,  34, NEQ, 0141, 0111, 0106, 0095,    0,    0,  32
WP, 11, 2013080818, 03, HWRF, 126, 210N, 1125E,  88,  963, XX,  50, NEQ, 0063, 0065, 0068, 0063,    0,    0,  32
WP, 11, 2013080818, 03, HWRF, 126, 210N, 1125E,  88,  963, XX,  64, NEQ, 0049, 0051, 0053, 0040,    0,    0,  32
WP, 11, 2013080900, 03, HWRF, 000, 133N, 1351E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  61
WP, 11, 2013080900, 03, HWRF, 006, 134N, 1343E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  76
WP, 11, 2013080900, 03, HWRF, 012, 135N, 1336E,  36, 1003, XX,  34, NEQ, 0044, 0000, 0000, 0000,    0,    0,  40
WP, 11, 2013080900, 03, HWRF, 018, 137N, 1325E,  37,  997, XX,  34, NEQ, 0035, 0025, 0019, 0076,    0,    0,  23
WP, 11, 2013080900, 03, HWRF, 024, 143N, 1318E,  36,  997, XX,  34, NEQ, 0051, 0019, 0019, 0000,    0,    0,  43
WP, 11, 2013080900, 03, HWRF, 030, 148N, 1302E,  46,  989, XX,  34, NEQ, 0097, 0024, 0023, 0083,    0,    0,  19
WP, 11, 2013080900, 03, HWRF, 036, 151N, 1289E,  54,  985, XX,  34, NEQ, 0080, 0059, 0032, 0078,    0,    0,  12
WP, 11, 2013080900, 03, HWRF, 036, 151N, 1289E,  54,  985, XX,  50, NEQ, 0028, 0026, 0010, 0019,    0,    0,  12
WP, 11, 2013080900, 03, HWRF, 042, 155N, 1276E,  67,  977, XX,  34, NEQ, 0090, 0070, 0062, 0081,    0,    0,  15
WP, 11, 2013080900, 03, HWRF, 042, 155N, 1276E,  67,  977, XX,  50, NEQ, 0034, 0035, 0026, 0030,    0,    0,  15
WP, 11, 2013080900, 03, HWRF, 042, 155N, 1276E,  67,  977, XX,  64, NEQ, 0023, 0025, 0000, 0000,    0,    0,  15
WP, 11, 2013080900, 03, HWRF, 048, 159N, 1263E,  84,  971, XX,  34, NEQ, 0114, 0086, 0075, 0093,    0,    0,  25
WP, 11, 2013080900, 03, HWRF, 048, 159N, 1263E,  84,  971, XX,  50, NEQ, 0051, 0050, 0052, 0038,    0,    0,  25
WP, 11, 2013080900, 03, HWRF, 048, 159N, 1263E,  84,  971, XX,  64, NEQ, 0038, 0036, 0023, 0029,    0,    0,  25
