AL, 07, 2017080312, 03, CP05,   0, 123N,  649W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP05,   6, 132N,  655W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP05,  12, 135N,  653W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP06,   0, 122N,  649W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP07,   0, 121N,  637W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP07,   6, 126N,  664W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP08,   0, 116N,  639W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP09,   0, 122N,  646W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP09,   6, 134N,  669W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP10,   0, 121N,  645W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP10,   6, 124N,  670W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP10,  12, 130N,  689W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP10,  18, 125N,  713W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP11,   0, 123N,  640W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP11,   6, 126N,  657W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP11,  12, 138N,  669W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP11,  18, 138N,  700W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP11,  24, 134N,  725W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP11,  30, 137N,  744W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP12,   0, 122N,  635W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 07, 2017080312, 03, CP12,   6, 114N,  641W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
