AL, 26, 2020100312, 03, AP21,  78, 227N,  835W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21,  84, 236N,  849W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21,  90, 242N,  859W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21,  96, 247N,  866W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 102, 250N,  875W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 108, 253N,  880W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 114, 253N,  888W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 120, 252N,  895W,  35, 1008, XX,  34, NEQ,   47,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 126, 249N,  903W,  36, 1007, XX,  34, NEQ,    0,    0,    0,   45, 
AL, 26, 2020100312, 03, AP21, 132, 244N,  908W,  34, 1007, XX,  34, NEQ,    0,    0,    0,   50, 
AL, 26, 2020100312, 03, AP21, 138, 240N,  916W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 144, 239N,  922W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 150, 240N,  926W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 156, 240N,  930W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 162, 242N,  935W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP21, 168, 245N,  939W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
