WP, 04, 2020080106, 03, AP02, 036, 197N, 1006E,  12,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 042, 198N,  991E,  12,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 048, 200N,  971E,  13,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 054, 204N,  957E,  16,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 060, 208N,  949E,  18,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 066, 214N,  934E,  19,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 072, 215N,  906E,  20,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 078, 219N,  890E,  26,  987, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 084, 214N,  872E,  17,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 090, 202N,  866E,  30,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 096, 199N,  870E,  33,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 102, 204N,  858E,  30,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 108, 214N,  860E,  28,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 114, 228N,  837E,  17,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 120, 238N,  809E,  25,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 126, 237N,  777E,  23,  988, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 132, 242N,  769E,  20,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 138, 249N,  761E,  22,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 144, 257N,  750E,  24,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 150, 267N,  740E,  24,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 156, 276N,  727E,  21,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP02, 162, 282N,  716E,  18,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP03, 000, 183N, 1077E,  34,  991, XX,  34, NEQ, 0000, 0051, 0000, 0000
WP, 04, 2020080106, 03, AP03, 006, 182N, 1075E,  31,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP03, 012, 185N, 1070E,  34,  991, XX,  34, NEQ, 0000, 0042, 0000, 0000
WP, 04, 2020080106, 03, AP03, 018, 191N, 1064E,  36,  991, XX,  34, NEQ, 0000, 0064, 0000, 0000
WP, 04, 2020080106, 03, AP03, 024, 193N, 1054E,  29,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP03, 030, 182N, 1032E,  22,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP03, 036, 182N, 1026E,  24,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP03, 042, 183N, 1017E,  20,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP03, 048, 185N, 1008E,  20,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP03, 054, 191N,  996E,  14,  993, XX,  34, NEQ, 0000, 0000, 0259, 0000
WP, 04, 2020080106, 03, AP03, 060, 198N,  980E,   9,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP03, 066, 207N,  951E,  15,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP04, 000, 182N, 1075E,  30,  990, XX,  34, NEQ, 0232, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP04, 006, 186N, 1074E,  30,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP04, 012, 190N, 1068E,  34,  992, XX,  34, NEQ, 0000, 0049, 0000, 0000
WP, 04, 2020080106, 03, AP04, 018, 192N, 1055E,  34,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP04, 024, 187N, 1032E,  24,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP04, 030, 190N, 1022E,  20,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP04, 036, 193N, 1009E,  18,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP04, 042, 194N, 1000E,  14,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP05, 000, 186N, 1086E,  33,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP05, 006, 186N, 1078E,  33,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP05, 012, 188N, 1071E,  35,  991, XX,  34, NEQ, 0000, 0073, 0000, 0000
WP, 04, 2020080106, 03, AP05, 018, 192N, 1066E,  39,  989, XX,  34, NEQ, 0083, 0071, 0000, 0000
WP, 04, 2020080106, 03, AP05, 024, 193N, 1056E,  34,  989, XX,  34, NEQ, 0053, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP05, 030, 192N, 1042E,  27,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP05, 036, 190N, 1027E,  21,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP05, 042, 192N, 1016E,  16,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP05, 048, 193N, 1006E,  14,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
