WP, 06, 2020080912, 03, AEMN, 120, 268N, 1330E,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 000, 260N, 1475E,  23, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 006, 264N, 1467E,  24, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 012, 266N, 1460E,  25, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 018, 267N, 1450E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 024, 267N, 1439E,  21, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 030, 269N, 1425E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 036, 269N, 1412E,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 042, 271N, 1400E,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 048, 271N, 1387E,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 054, 272N, 1378E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 060, 270N, 1368E,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 066, 268N, 1357E,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 072, 273N, 1350E,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 078, 274N, 1341E,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 084, 276N, 1335E,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 090, 279N, 1332E,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 096, 282N, 1329E,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP01, 102, 289N, 1329E,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 000, 261N, 1476E,  23, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 006, 262N, 1472E,  22, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 012, 263N, 1465E,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 018, 264N, 1456E,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 024, 264N, 1444E,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 030, 267N, 1431E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 036, 269N, 1420E,  19, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 042, 271N, 1409E,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 048, 269N, 1397E,  17, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 054, 265N, 1384E,  16, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AP02, 060, 264N, 1379E,  15, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
