SH, 17, 2020022100, 03, AP03, 000, 156S, 1700W,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 006, 159S, 1693W,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 012, 162S, 1685W,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 018, 172S, 1678W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 024, 179S, 1674W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 030, 187S, 1672W,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 036, 196S, 1672W,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 042, 204S, 1673W,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 048, 211S, 1674W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 054, 218S, 1674W,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 060, 223S, 1675W,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 066, 228S, 1674W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 072, 235S, 1673W,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 078, 242S, 1673W,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 084, 255S, 1674W,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 090, 271S, 1670W,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 096, 291S, 1670W,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 102, 313S, 1666W,  30, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 108, 337S, 1660W,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 114, 350S, 1656W,  33, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 120, 358S, 1661W,  38, 1000, XX,  34, NEQ, 0000, 0200, 0052, 0000
SH, 17, 2020022100, 03, AP03, 126, 358S, 1661W,  44,  996, XX,  34, NEQ, 0000, 0251, 0166, 0077
SH, 17, 2020022100, 03, AP03, 132, 355S, 1655W,  36,  998, XX,  34, NEQ, 0000, 0223, 0187, 0000
SH, 17, 2020022100, 03, AP03, 138, 352S, 1646W,  30, 1000, XX,  34, NEQ, 0000, 0275, 0230, 0000
SH, 17, 2020022100, 03, AP03, 144, 350S, 1641W,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 150, 345S, 1635W,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 156, 341S, 1633W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 162, 339S, 1630W,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 168, 338S, 1630W,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 174, 338S, 1631W,  17, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 180, 341S, 1637W,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 186, 347S, 1643W,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 192, 356S, 1653W,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 198, 366S, 1665W,  25, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 204, 378S, 1686W,  25, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 210, 386S, 1706W,  24, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 216, 395S, 1720W,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 222, 417S, 1729W,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 228, 427S, 1734W,  15, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 234, 454S, 1733W,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP03, 240, 486S, 1714W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 000, 155S, 1702W,  29, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 006, 164S, 1695W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 012, 169S, 1689W,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 018, 175S, 1684W,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 024, 185S, 1681W,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 030, 196S, 1678W,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 036, 206S, 1674W,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 042, 216S, 1672W,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 048, 226S, 1672W,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 054, 234S, 1671W,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 060, 240S, 1674W,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 066, 249S, 1675W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 072, 258S, 1678W,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 078, 267S, 1680W,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 084, 281S, 1687W,  25, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 090, 292S, 1688W,  28, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 096, 308S, 1689W,  31, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 102, 317S, 1687W,  31, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 108, 326S, 1688W,  28, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 114, 335S, 1684W,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 120, 340S, 1689W,  31, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 126, 342S, 1693W,  34, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 132, 341S, 1699W,  33, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 138, 335S, 1698W,  31, 1007, XX,  34, NEQ, 0000, 0241, 0000, 0000
SH, 17, 2020022100, 03, AP04, 144, 329S, 1696W,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 150, 323S, 1693W,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 156, 321S, 1687W,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP04, 162, 327S, 1686W,  30, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
