EP, 95, 2014073100, 03, GFDN,  90, 171N, 1302W,  40,  996
EP, 95, 2014073100, 03, GFDN,  96, 175N, 1307W,  39,  997
EP, 95, 2014073100, 03, NG03, 126, 146N, 1397W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 132, 141N, 1405W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 138, 136N, 1415W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 144, 136N, 1425W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 150, 134N, 1437W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 156, 131N, 1449W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 162, 130N, 1461W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 168, 128N, 1474W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 174, 121N, 1488W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG03, 180, 118N, 1503W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 090, 157N, 1318W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 096, 159N, 1325W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 102, 159N, 1331W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 108, 160N, 1337W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 114, 161N, 1343W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 120, 161N, 1351W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 126, 161N, 1358W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 132, 162N, 1369W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 138, 162N, 1379W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 144, 162N, 1392W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 150, 163N, 1405W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 156, 165N, 1419W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 162, 164N, 1431W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 168, 169N, 1442W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 174, 171N, 1454W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG04, 180, 174N, 1465W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 090, 183N, 1337W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 096, 188N, 1344W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 102, 191N, 1351W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 108, 193N, 1361W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 114, 195N, 1374W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 120, 192N, 1383W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 126, 192N, 1393W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 132, 193N, 1405W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 138, 193N, 1417W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2014073100, 03, NG05, 144, 193N, 1430W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
