SH, 11, 2020012418, 99, CHP3,  72, 290S,  773E,  18, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP3,  78, 290S,  765E,  18, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP3,  84, 289S,  758E,  17, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP3,  90, 289S,  750E,  16, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP3,  96, 288S,  742E,  16, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,   0, 232S,  706E,  36, 1000,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,   6, 238S,  717E,  39,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  12, 245S,  729E,  41,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  18, 251S,  737E,  37,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  24, 258S,  746E,  34,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  30, 264S,  752E,  33, 1000,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  36, 271S,  759E,  30, 1000,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  42, 276S,  764E,  27, 1001,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  48, 282S,  770E,  24, 1001,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  54, 284S,  771E,  22, 1001,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  60, 286S,  772E,  21, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  66, 288S,  773E,  20, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  72, 290S,  773E,  19, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  78, 290S,  765E,  18, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  84, 289S,  758E,  17, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  90, 289S,  750E,  17, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP4,  96, 288S,  742E,  16, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,   0, 232S,  706E,  31, 1001,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,   6, 238S,  717E,  34, 1000,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  12, 245S,  729E,  37,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  18, 251S,  737E,  37,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  24, 258S,  746E,  32, 1000,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  30, 264S,  752E,  32, 1000,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  36, 271S,  759E,  30, 1000,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  42, 276S,  764E,  27, 1001,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  48, 282S,  770E,  24, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  54, 284S,  771E,  22, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  60, 286S,  772E,  21, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  66, 288S,  773E,  20, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  72, 290S,  773E,  19, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  78, 290S,  765E,  18, 1002,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  84, 289S,  758E,  17, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  90, 289S,  750E,  17, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP5,  96, 288S,  742E,  16, 1003,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP6,   0, 232S,  706E,  35, 1000,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP6,   6, 238S,  717E,  42,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP6,  12, 245S,  729E,  43,  997,   ,   0,    ,    0,    0,    0,    0,
SH, 11, 2020012418, 99, CHP6,  18, 251S,  737E,  38,  998,   ,   0,    ,    0,    0,    0,    0,
