AL, 05, 2020070400, 03, AP06,   6, 313N,  714W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP06,  12, 314N,  699W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP06,  18, 317N,  686W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP06,  24, 322N,  675W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP06,  30, 325N,  667W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP07,   0, 313N,  726W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP07,   6, 314N,  714W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP07,  12, 314N,  700W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP07,  18, 317N,  689W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP07,  24, 322N,  676W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP07,  30, 327N,  665W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP07,  36, 334N,  652W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP08,   0, 313N,  726W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP08,   6, 315N,  714W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP08,  12, 317N,  701W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP08,  18, 319N,  690W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP08,  24, 325N,  679W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP08,  30, 328N,  670W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP09,   0, 314N,  729W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP09,   6, 314N,  718W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP09,  12, 317N,  704W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP09,  18, 319N,  695W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP09,  24, 325N,  684W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
