EP, 77, 2013050112, 03, CLP5,  12,  78N,  926W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5,  24,  85N,  933W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5,  36,  94N,  941W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5,  48, 104N,  949W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5,  60, 112N,  960W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5,  72, 117N,  971W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5,  84, 123N,  979W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5,  96, 127N,  989W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5, 108, 131N, 1003W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, CLP5, 120, 135N, 1013W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,   0,  75N,  920W,  20,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,  12,  73N,  934W,  21,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,  24,  63N,  949W,  24,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,  36,  52N,  966W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,  48,  40N,  987W,  31,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,  60,  31N, 1013W,  35,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,  72,  22N, 1044W,  35,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,  84,  12N, 1089W,  34,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP,  96,   5N, 1244W,  34,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP, 108,  11N, 1326W,  31,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, DSHP, 120,  24N, 1376W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,  12,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,  24,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,  36,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,  48,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,  60,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,  72,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,  84,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 77, 2013050112, 03, IV15,  96,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
