AL, 98, 2014082712, 03, GFDN,   0, 270N,  945W,  27, 1009
AL, 98, 2014082712, 03, NG05, 030, 256N,  969W,  12, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG05, 036, 259N,  979W,  14, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG05, 042, 258N,  988W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG06, 000, 269N,  949W,  11, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG06, 006, 263N,  950W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG06, 012, 263N,  954W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG06, 018, 262N,  960W,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG06, 024, 259N,  965W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG06, 030, 259N,  973W,  12, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG06, 036, 260N,  982W,  15, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 000, 268N,  939W,  12, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 006, 264N,  941W,  14, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 012, 263N,  946W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 018, 261N,  951W,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 024, 262N,  957W,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 030, 263N,  959W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 036, 261N,  962W,  15, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 042, 265N,  973W,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 048, 270N,  977W,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 054, 274N,  976W,  10, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 060, 279N,  978W,  12, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG07, 066, 283N,  973W,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG08, 000, 262N,  948W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG08, 006, 258N,  950W,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG08, 012, 256N,  956W,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG08, 018, 252N,  963W,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG08, 024, 257N,  969W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG08, 030, 252N,  966W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG08, 036, 239N,  962W,  17, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 000, 269N,  939W,  12, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 006, 266N,  940W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 012, 263N,  944W,  14, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 018, 260N,  949W,  18, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 024, 260N,  954W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 030, 259N,  958W,  14, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 036, 257N,  963W,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 042, 259N,  972W,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 048, 259N,  979W,  12, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 054, 260N,  980W,  10, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 060, 260N,  989W,  13, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG09, 066, 262N,  998W,  10, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 000, 263N,  936W,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 006, 252N,  933W,  15, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 012, 245N,  939W,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 018, 240N,  944W,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 024, 239N,  952W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 030, 232N,  950W,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 036, 226N,  954W,  14, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 042, 227N,  959W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 048, 229N,  964W,  10, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG10, 054, 223N,  957W,   7, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG11, 000, 258N,  956W,  12, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG11, 006, 252N,  961W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG11, 012, 249N,  967W,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG12, 000, 259N,  947W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG12, 006, 249N,  948W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG12, 012, 248N,  953W,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG12, 018, 248N,  958W,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG12, 024, 244N,  959W,  11, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG12, 030, 248N,  961W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG12, 036, 236N,  959W,  14, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 000, 276N,  938W,  10, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 006, 271N,  938W,  12, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 012, 269N,  943W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 018, 266N,  947W,  15, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 024, 267N,  953W,  10, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 030, 264N,  952W,  13, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 036, 259N,  957W,  13, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 042, 261N,  961W,  17, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 048, 261N,  967W,  13, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG13, 054, 272N,  966W,  10, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG14, 000, 260N,  950W,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG14, 006, 249N,  949W,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG14, 012, 239N,  949W,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG15, 000, 278N,  939W,   8, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG15, 006, 272N,  936W,  11, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG16, 000, 258N,  950W,  11, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
