IO, 05, 2015110512, 03, COTC, 090, 112N,  480E,  54,  995, XX,  34, NEQ, 0069, 0028, 0018, 0077,    0,    0, 021
IO, 05, 2015110512, 03, COTC, 090, 112N,  480E,  54,  995, XX,  50, NEQ, 0024, 0000, 0000, 0022,    0,    0, 021
IO, 05, 2015110512, 03, COTC, 096, 112N,  469E,  60,  998, XX,  34, NEQ, 0028, 0021, 0028, 0040,    0,    0, 016
IO, 05, 2015110512, 03, COTC, 096, 112N,  469E,  60,  998, XX,  50, NEQ, 0019, 0018, 0000, 0019,    0,    0, 016
IO, 05, 2015110512, 03, COTC, 102, 112N,  456E,  45,  999, XX,  34, NEQ, 0034, 0018, 0016, 0033,    0,    0, 007
IO, 05, 2015110512, 03, COTC, 108, 112N,  446E,  46, 1002, XX,  34, NEQ, 0021, 0016, 0018, 0032,    0,    0, 015
IO, 05, 2015110512, 03, COTC, 114, 115N,  441E,  40, 1005, XX,  34, NEQ, 0034, 0035, 0000, 0000,    0,    0, 028
IO, 05, 2015110512, 03, COTC, 120, 116N,  440E,  34, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 020
IO, 05, 2015110512, 03, CTCX, 000, 138N,  640E,  35, 1005, XX,  34, NEQ, 0081, 0000, 0000, 0082,    0,    0, 078
IO, 05, 2015110512, 03, CTCX, 006, 136N,  634E,  32, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 079
IO, 05, 2015110512, 03, CTCX, 012, 134N,  627E,  33, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 093
IO, 05, 2015110512, 03, CTCX, 018, 136N,  617E,  36, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0095,    0,    0, 092
IO, 05, 2015110512, 03, CTCX, 024, 135N,  608E,  32, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 106
IO, 05, 2015110512, 03, CTCX, 030, 133N,  602E,  34, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 086
IO, 05, 2015110512, 03, CTCX, 036, 129N,  589E,  35, 1006, XX,  34, NEQ, 0000, 0000, 0059, 0000,    0,    0, 059
IO, 05, 2015110512, 03, CTCX, 042, 126N,  580E,  41, 1005, XX,  34, NEQ, 0036, 0031, 0058, 0055,    0,    0, 028
IO, 05, 2015110512, 03, CTCX, 048, 125N,  572E,  41, 1003, XX,  34, NEQ, 0036, 0032, 0000, 0000,    0,    0, 025
IO, 05, 2015110512, 03, CTCX, 054, 125N,  563E,  41, 1002, XX,  34, NEQ, 0036, 0052, 0055, 0046,    0,    0, 025
IO, 05, 2015110512, 03, CTCX, 060, 122N,  551E,  52,  994, XX,  34, NEQ, 0075, 0021, 0041, 0070,    0,    0, 010
IO, 05, 2015110512, 03, CTCX, 060, 122N,  551E,  52,  994, XX,  50, NEQ, 0000, 0010, 0013, 0022,    0,    0, 010
IO, 05, 2015110512, 03, CTCX, 066, 119N,  539E,  64,  990, XX,  34, NEQ, 0044, 0030, 0025, 0057,    0,    0, 017
IO, 05, 2015110512, 03, CTCX, 066, 119N,  539E,  64,  990, XX,  50, NEQ, 0031, 0015, 0007, 0032,    0,    0, 017
IO, 05, 2015110512, 03, CTCX, 066, 119N,  539E,  64,  990, XX,  64, NEQ, 0000, 0000, 0000, 0020,    0,    0, 017
IO, 05, 2015110512, 03, CTCX, 072, 118N,  528E,  63,  988, XX,  34, NEQ, 0054, 0018, 0043, 0068,    0,    0, 004
IO, 05, 2015110512, 03, CTCX, 072, 118N,  528E,  63,  988, XX,  50, NEQ, 0027, 0007, 0021, 0035,    0,    0, 004
IO, 05, 2015110512, 03, CTCX, 078, 115N,  515E,  67,  986, XX,  34, NEQ, 0040, 0021, 0025, 0045,    0,    0, 013
IO, 05, 2015110512, 03, CTCX, 078, 115N,  515E,  67,  986, XX,  50, NEQ, 0031, 0010, 0018, 0029,    0,    0, 013
IO, 05, 2015110512, 03, CTCX, 078, 115N,  515E,  67,  986, XX,  64, NEQ, 0007, 0004, 0003, 0022,    0,    0, 013
IO, 05, 2015110512, 03, CTCX, 084, 113N,  503E,  41, 1000, XX,  34, NEQ, 0030, 0013, 0000, 0062,    0,    0, 025
IO, 05, 2015110512, 03, CTCX, 090, 116N,  491E,  39, 1009, XX,  34, NEQ, 0047, 0000, 0000, 0060,    0,    0, 036
IO, 05, 2015110512, 03, CTCX, 096, 119N,  478E,  40, 1005, XX,  34, NEQ, 0036, 0028, 0015, 0028,    0,    0, 022
IO, 05, 2015110512, 03, CTCX, 102, 120N,  467E,  37, 1006, XX,  34, NEQ, 0034, 0000, 0000, 0037,    0,    0, 028
IO, 05, 2015110512, 03, CTCX, 108, 117N,  457E,  32, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 022
IO, 05, 2015110512, 03, CTCX, 114, 117N,  448E,  35, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0030,    0,    0, 026
IO, 05, 2015110512, 03, CTCX, 120, 118N,  446E,  29, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 004
IO, 05, 2015110512, 03, CTCX, 126, 116N,  439E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 069
IO, 05, 2015110512, 03, GFDN,   0, 139N,  639E,  39, 1001
IO, 05, 2015110512, 03, GFDN,   6, 136N,  630E,  34, 1003
IO, 05, 2015110512, 03, GFDN,  12, 136N,  618E,  39, 1002
IO, 05, 2015110512, 03, GFDN,  18, 132N,  609E,  35, 1005
IO, 05, 2015110512, 03, GFDN,  24, 129N,  604E,  34, 1004
IO, 05, 2015110512, 03, GFDN,  30, 127N,  597E,  35, 1004
IO, 05, 2015110512, 03, GFDN,  36, 126N,  589E,  32, 1004
IO, 05, 2015110512, 03, GFDN,  42, 124N,  581E,  34, 1000
IO, 05, 2015110512, 03, GFDN,  48, 123N,  571E,  36,  999
IO, 05, 2015110512, 03, GFDN,  54, 120N,  561E,  41,  999
IO, 05, 2015110512, 03, GFDN,  60, 118N,  551E,  53,  994
IO, 05, 2015110512, 03, GFDN,  66, 116N,  540E,  71,  985
IO, 05, 2015110512, 03, GFDN,  72, 114N,  527E,  71,  980
