SH, 20, 2015032112, 03, HWRF, 001, 213S, 1772W,  33,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 162,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     102,     650,     346, Y, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 002, 214S, 1771W,  33,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 162,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     144,     621,     303, Y, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 003, 215S, 1770W,  34,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  64,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     127,     649,     121, Y, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 004, 217S, 1769W,  38,  992, XX,  34, NEQ, 0070, 0067, 0000, 0000,  -99,  -99,  60,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     109,     697,     -34, N, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 005, 218S, 1768W,  39,  993, XX,  34, NEQ, 0074, 0074, 0045, 0035,  -99,  -99,  56,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     103,     694,    -353, N, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 006, 220S, 1768W,  39,  993, XX,  34, NEQ, 0078, 0078, 0049, 0040,  -99,  -99,  52,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     114,     621,    -325, N, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 007, 221S, 1767W,  40,  993, XX,  34, NEQ, 0071, 0073, 0047, 0046,  -99,  -99,  58,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     139,     617,    -273, N, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 008, 223S, 1765W,  39,  994, XX,  34, NEQ, 0079, 0077, 0045, 0052,  -99,  -99,  37,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     154,     613,    -253, N, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 009, 224S, 1764W,  37,  994, XX,  34, NEQ, 0083, 0076, 0040, 0000,  -99,  -99,  52,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     154,     575,    -517, N, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 012, 231S, 1760W,  38,  993, XX,  34, NEQ, 0080, 0072, 0000, 0000,  -99,  -99,  49,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     147,     704,    -530, N, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 015, 239S, 1757W,  40,  990, XX,  34, NEQ, 0084, 0080, 0153, 0034,  -99,  -99,  47,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     165,     998,    -645, N, 10, DT, -999
SH, 20, 2015032112, 03, HWRF, 018, 241S, 1752W,  42,  993, XX,  34, NEQ, 0000, 0369, 0271, 0000,  -99,  -99,  76,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     251,     594,    -983, Y, 10, DT, -999
