SH, 95, 2015012012, 03, COTC, 000, 147S, 1520W,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
SH, 95, 2015012012, 03, COTC, 006, 155S, 1517W,  32, 1005, XX,  34, NEQ, 0193, 0000, 0000, 0000,    0,    0, 091
SH, 95, 2015012012, 03, COTC, 012, 160S, 1516W,  37, 1003, XX,  34, NEQ, 0183, 0143, 0000, 0000,    0,    0, 086
SH, 95, 2015012012, 03, COTC, 018, 159S, 1511W,  42, 1004, XX,  34, NEQ, 0132, 0000, 0000, 0041,    0,    0, 106
SH, 95, 2015012012, 03, COTC, 024, 166S, 1498W,  35, 1002, XX,  34, NEQ, 0108, 0083, 0000, 0111,    0,    0, 108
SH, 95, 2015012012, 03, COTC, 030, 177S, 1488W,   0, 1001, XX,  34, NEQ, 0150, 0000, 0000, 0169,    0,    0, ***
SH, 95, 2015012012, 03, COTC, 036, 186S, 1480W,   0,  998, XX,  34, NEQ, 0160, 0056, 0015, 0157,    0,    0, ***
SH, 95, 2015012012, 03, COTC, 042, 202S, 1476W,   0,  998, XX,  34, NEQ, 0229, 0068, 0000, 0292,    0,    0, ***
SH, 95, 2015012012, 03, COTC, 048, 213S, 1475W,  48,  998, XX,  34, NEQ, 0281, 0085, 0000, 0349,    0,    0, 070
SH, 95, 2015012012, 03, COTC, 054, 225S, 1469W,  53,  999, XX,  34, NEQ, 0252, 0095, 0000, 0000,    0,    0, 032
SH, 95, 2015012012, 03, COTC, 054, 225S, 1469W,  53,  999, XX,  50, NEQ, 0000, 0034, 0000, 0000,    0,    0, 032
SH, 95, 2015012012, 03, COTC, 060, 240S, 1464W,  44,  997, XX,  34, NEQ, 0301, 0133, 0000, 0330,    0,    0, 078
SH, 95, 2015012012, 03, COTC, 066, 257S, 1455W,  47,  995, XX,  34, NEQ, 0258, 0138, 0046, 0031,    0,    0, 023
SH, 95, 2015012012, 03, COTC, 072, 273S, 1452W,  41,  997, XX,  34, NEQ, 0197, 0159, 0042, 0000,    0,    0, 028
SH, 95, 2015012012, 03, COTC, 078, 288S, 1447W,  41, 1001, XX,  34, NEQ, 0194, 0163, 0113, 0041,    0,    0, 090
SH, 95, 2015012012, 03, COTC, 084, 303S, 1443W,  44, 1002, XX,  34, NEQ, 0252, 0212, 0127, 0057,    0,    0, 029
