EP, 25, 2015112312, 03, CEMN, 120, 199N, 1163W,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,  358,    4,   7
EP, 25, 2015112312, 03, CEMN, 126, 204N, 1170W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,  393,    3,   6
EP, 25, 2015112312, 03, CEMN, 132, 207N, 1177W,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,  429,    3,   5
EP, 25, 2015112312, 03, CEMN, 138, 209N, 1183W,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,  467,    2,   5
EP, 25, 2015112312, 03, CEMN, 144, 219N, 1172W,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,  527,    3,   5
EP, 25, 2015112312, 03,  CMC, 000,  98N, 1008W,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 006,  99N, 1020W,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 012, 100N, 1032W,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 018,  99N, 1043W,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 024, 100N, 1051W,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 030, 100N, 1060W,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 036, 109N, 1069W,  36,  998, XX,  34, NEQ, 0091, 0000, 0000, 0067
EP, 25, 2015112312, 03,  CMC, 042, 114N, 1080W,  37,  999, XX,  34, NEQ, 0153, 0071, 0000, 0102
EP, 25, 2015112312, 03,  CMC, 048, 120N, 1090W,  43,  994, XX,  34, NEQ, 0133, 0123, 0000, 0119
EP, 25, 2015112312, 03,  CMC, 054, 127N, 1100W,  45,  995, XX,  34, NEQ, 0112, 0099, 0000, 0099
EP, 25, 2015112312, 03,  CMC, 060, 130N, 1109W,  47,  991, XX,  34, NEQ, 0141, 0124, 0068, 0128
EP, 25, 2015112312, 03,  CMC, 066, 138N, 1116W,  53,  993, XX,  34, NEQ, 0111, 0110, 0079, 0122
EP, 25, 2015112312, 03,  CMC, 066, 138N, 1116W,  53,  993, XX,  50, NEQ, 0000, 0000, 0000, 0055
EP, 25, 2015112312, 03,  CMC, 072, 140N, 1120W,  50,  990, XX,  34, NEQ, 0112, 0122, 0062, 0137
EP, 25, 2015112312, 03,  CMC, 072, 140N, 1120W,  50,  990, XX,  50, NEQ, 0000, 0059, 0000, 0059
EP, 25, 2015112312, 03,  CMC, 078, 149N, 1124W,  46,  993, XX,  34, NEQ, 0128, 0105, 0076, 0130
EP, 25, 2015112312, 03,  CMC, 084, 159N, 1130W,  46,  994, XX,  34, NEQ, 0109, 0108, 0000, 0087
EP, 25, 2015112312, 03,  CMC, 090, 162N, 1135W,  45,  997, XX,  34, NEQ, 0149, 0110, 0000, 0093
EP, 25, 2015112312, 03,  CMC, 096, 169N, 1139W,  41,  994, XX,  34, NEQ, 0129, 0122, 0000, 0081
EP, 25, 2015112312, 03,  CMC, 102, 174N, 1138W,  49,  997, XX,  34, NEQ, 0136, 0102, 0072, 0104
EP, 25, 2015112312, 03,  CMC, 108, 180N, 1140W,  42,  995, XX,  34, NEQ, 0127, 0115, 0000, 0078
EP, 25, 2015112312, 03,  CMC, 114, 188N, 1142W,  40,  999, XX,  34, NEQ, 0126, 0000, 0000, 0091
EP, 25, 2015112312, 03,  CMC, 120, 196N, 1145W,  38,  998, XX,  34, NEQ, 0086, 0096, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 126, 202N, 1142W,  40, 1001, XX,  34, NEQ, 0000, 0125, 0074, 0000
EP, 25, 2015112312, 03,  CMC, 132, 213N, 1131W,  38, 1000, XX,  34, NEQ, 0000, 0101, 0070, 0000
EP, 25, 2015112312, 03,  CMC, 138, 220N, 1120W,  36, 1002, XX,  34, NEQ, 0000, 0086, 0063, 0000
EP, 25, 2015112312, 03,  CMC, 144, 228N, 1110W,  30, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 150, 232N, 1099W,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 156, 240N, 1089W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 162, 248N, 1085W,  26, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03,  CMC, 168, 251N, 1082W,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 000, 109N, 1005W,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 006,  90N, 1013W,  25, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 012,  88N, 1023W,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 018,  89N, 1029W,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 024,  98N, 1039W,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 030, 101N, 1051W,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 036, 101N, 1069W,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 042, 102N, 1083W,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 048, 104N, 1092W,  28, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 054, 109N, 1101W,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 25, 2015112312, 03, CP01, 060, 117N, 1112W,  33,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
