WP, 14, 2015080212,   , BEST,   0, 300N, 1439E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  120,  35,   0,   0,   W,   0,   X, 305,   3,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
WP, 14, 2015080218,   , BEST,   0, 302N, 1434E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  120,  35,   0,   0,   W,   0,   X, 290,   4,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
WP, 14, 2015080300,   , BEST,   0, 304N, 1431E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  35,   0,   0,   W,   0,   X, 295,   4,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
WP, 14, 2015080306,   , BEST,   0, 307N, 1424E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  35,   0,   0,   W,   0,   X, 300,   5,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
WP, 14, 2015080312,   , BEST,   0, 307N, 1415E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  35,   0,   0,   W,   0,   X, 285,   6,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
WP, 14, 2015080318,   , BEST,   0, 310N, 1408E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  35,   0,   0,   W,   0,   X, 285,   7,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
WP, 14, 2015080400,   , BEST,   0, 311N, 1401E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  35,   0,   0,   W,   0,   X, 285,   7,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
WP, 14, 2015080406,   , BEST,   0, 313N, 1394E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  35,   0,   0,   W,   0,   X, 290,   6,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
WP, 14, 2015080412,   , BEST,   0, 316N, 1384E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  110,  35,   0,   0,   W,   0,   X, 285,   7,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP142015, JTWC, NCEP_TCVITALS, 
