EP, 98, 2015090506, 03, NVGM, 150, 284N, 1191W,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 114
EP, 98, 2015090506, 03, NVGM, 156, 287N, 1191W,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 135
EP, 98, 2015090506, 03, NVGM, 162, 288N, 1191W,  17, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 150
EP, 98, 2015090506, 03, NVGM, 168, 288N, 1193W,  14, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 119
EP, 98, 2015090506, 03, NVGM, 174, 286N, 1196W,  13, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 113
EP, 98, 2015090506, 03, NVGM, 180, 285N, 1197W,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 129
EP, 98, 2015090512, 03, COTC, 000, 116N, 1054W,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
EP, 98, 2015090512, 03, COTC, 006, 123N, 1058W,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
EP, 98, 2015090512, 03, COTC, 012, 121N, 1063W,  30, 1005, XX,  34, NEQ, 0000, 0000, 0210, 0000,    0,    0, 098
EP, 98, 2015090512, 03, COTC, 018, 126N, 1067W,  29, 1005, XX,  34, NEQ, 0232, 0143, 0000, 0000,    0,    0, 107
EP, 98, 2015090512, 03, COTC, 024, 129N, 1077W,  35, 1004, XX,  34, NEQ, 0203, 0137, 0127, 0161,    0,    0, 100
EP, 98, 2015090512, 03, COTC, 030, 135N, 1079W,  41, 1005, XX,  34, NEQ, 0329, 0160, 0148, 0262,    0,    0, 085
EP, 98, 2015090512, 03, COTC, 036, 148N, 1088W,  40, 1001, XX,  34, NEQ, 0293, 0174, 0147, 0247,    0,    0, 074
EP, 98, 2015090512, 03, COTC, 042, 158N, 1097W,  44, 1000, XX,  34, NEQ, 0240, 0246, 0155, 0172,    0,    0, 105
EP, 98, 2015090512, 03, COTC, 048, 170N, 1105W,  54,  995, XX,  34, NEQ, 0284, 0268, 0184, 0226,    0,    0, 055
EP, 98, 2015090512, 03, COTC, 048, 170N, 1105W,  54,  995, XX,  50, NEQ, 0000, 0057, 0000, 0000,    0,    0, 055
EP, 98, 2015090512, 03, COTC, 054, 177N, 1115W,  60,  993, XX,  34, NEQ, 0295, 0264, 0131, 0187,    0,    0, 058
EP, 98, 2015090512, 03, COTC, 054, 177N, 1115W,  60,  993, XX,  50, NEQ, 0189, 0061, 0062, 0000,    0,    0, 058
EP, 98, 2015090512, 03, COTC, 060, 188N, 1121W,  57,  983, XX,  34, NEQ, 0249, 0268, 0165, 0178,    0,    0, 059
EP, 98, 2015090512, 03, COTC, 060, 188N, 1121W,  57,  983, XX,  50, NEQ, 0067, 0059, 0067, 0000,    0,    0, 059
EP, 98, 2015090512, 03, COTC, 066, 196N, 1132W,  65,  981, XX,  34, NEQ, 0297, 0280, 0129, 0173,    0,    0, 064
EP, 98, 2015090512, 03, COTC, 066, 196N, 1132W,  65,  981, XX,  50, NEQ, 0065, 0083, 0082, 0081,    0,    0, 064
EP, 98, 2015090512, 03, COTC, 066, 196N, 1132W,  65,  981, XX,  64, NEQ, 0000, 0000, 0064, 0000,    0,    0, 064
EP, 98, 2015090512, 03, COTC, 072, 204N, 1139W,  73,  977, XX,  34, NEQ, 0257, 0177, 0123, 0168,    0,    0, 044
EP, 98, 2015090512, 03, COTC, 072, 204N, 1139W,  73,  977, XX,  50, NEQ, 0075, 0090, 0085, 0105,    0,    0, 044
EP, 98, 2015090512, 03, COTC, 072, 204N, 1139W,  73,  977, XX,  64, NEQ, 0000, 0059, 0000, 0000,    0,    0, 044
EP, 98, 2015090512, 03, COTC, 078, 211N, 1147W,  56,  982, XX,  34, NEQ, 0195, 0173, 0131, 0128,    0,    0, 064
EP, 98, 2015090512, 03, COTC, 078, 211N, 1147W,  56,  982, XX,  50, NEQ, 0081, 0100, 0086, 0054,    0,    0, 064
EP, 98, 2015090512, 03, COTC, 084, 218N, 1153W,  62,  982, XX,  34, NEQ, 0169, 0148, 0122, 0109,    0,    0, 045
EP, 98, 2015090512, 03, COTC, 084, 218N, 1153W,  62,  982, XX,  50, NEQ, 0061, 0069, 0065, 0000,    0,    0, 045
EP, 98, 2015090512, 03, COTC, 090, 226N, 1159W,  55,  987, XX,  34, NEQ, 0131, 0139, 0123, 0093,    0,    0, 056
EP, 98, 2015090512, 03, COTC, 090, 226N, 1159W,  55,  987, XX,  50, NEQ, 0059, 0062, 0000, 0000,    0,    0, 056
EP, 98, 2015090512, 03, COTC, 096, 231N, 1168W,  47,  989, XX,  34, NEQ, 0137, 0111, 0089, 0107,    0,    0, 041
EP, 98, 2015090512, 03, COTC, 102, 240N, 1174W,  42,  993, XX,  34, NEQ, 0106, 0089, 0077, 0071,    0,    0, 065
EP, 98, 2015090512, 03, COTC, 108, 250N, 1182W,  38,  993, XX,  34, NEQ, 0112, 0000, 0000, 0000,    0,    0, 066
EP, 98, 2015090512, 03, COTC, 114, 258N, 1189W,  31,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 064
EP, 98, 2015090512, 03, COTC, 120, 266N, 1195W,  32,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 067
EP, 98, 2015090512, 03, GFDN,   0, 117N, 1065W,  27, 1003
EP, 98, 2015090512, 03, GFDN,   6, 116N, 1067W,  27, 1002
EP, 98, 2015090512, 03, GFDN,  12, 117N, 1072W,  41, 1000
EP, 98, 2015090512, 03, GFDN,  18, 120N, 1077W,  46, 1000
EP, 98, 2015090512, 03, GFDN,  24, 122N, 1081W,  56,  995
EP, 98, 2015090512, 03, GFDN,  30, 132N, 1083W,  51,  996
EP, 98, 2015090512, 03, GFDN,  36, 144N, 1091W,  49,  992
EP, 98, 2015090512, 03, GFDN,  42, 154N, 1101W,  48,  992
EP, 98, 2015090512, 03, GFDN,  48, 165N, 1110W,  51,  990
EP, 98, 2015090512, 03, GFDN,  54, 175N, 1118W,  55,  987
EP, 98, 2015090512, 03, GFDN,  60, 183N, 1130W,  51,  986
EP, 98, 2015090512, 03, GFDN,  66, 187N, 1137W,  60,  980
EP, 98, 2015090512, 03, GFDN,  72, 193N, 1145W,  48,  981
EP, 98, 2015090512, 03, GFDN,  78, 197N, 1151W,  50,  983
EP, 98, 2015090512, 03, GFDN,  84, 200N, 1157W,  48,  984
EP, 98, 2015090512, 03, GFDN,  90, 203N, 1163W,  54,  984
EP, 98, 2015090512, 03, GFDN,  96, 208N, 1167W,  46,  986
EP, 98, 2015090512, 03, GFDN, 102, 211N, 1171W,  50,  985
EP, 98, 2015090512, 03, GFDN, 108, 216N, 1174W,  42,  988
EP, 98, 2015090512, 03, GFDN, 114, 221N, 1178W,  41,  991
EP, 98, 2015090512, 03, GFDN, 120, 224N, 1183W,  38,  993
EP, 98, 2015090512, 03, GFDN, 126, 228N, 1186W,  40,  994
EP, 98, 2015090512, 03, NG01, 000, 127N, 1062W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 148
EP, 98, 2015090512, 03, NG01, 006, 132N, 1062W,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 137
EP, 98, 2015090512, 03, NG01, 012, 130N, 1068W,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 126
EP, 98, 2015090512, 03, NG01, 018, 134N, 1068W,  32, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 137
EP, 98, 2015090512, 03, NG01, 024, 145N, 1070W,  33, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 117
