EP, 18, 2008110118, 03, AP02,  18,  64N, 1073W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  24,  65N, 1081W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  30,  66N, 1091W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  36,  66N, 1106W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  42,  64N, 1113W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  48,  60N, 1122W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  54,  59N, 1134W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  60,  60N, 1145W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  66,  69N, 1158W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  72,  67N, 1176W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  78,  66N, 1186W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  84,  69N, 1192W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,   0,  67N, 1033W,  27, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,   6,  73N, 1042W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  12,  70N, 1060W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  18,  69N, 1072W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  24,  71N, 1085W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  30,  70N, 1091W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  36,  69N, 1106W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  42,  68N, 1119W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  48,  73N, 1129W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  54,  63N, 1136W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  60,  71N, 1147W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  66,  69N, 1160W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  72,  70N, 1173W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  78,  69N, 1187W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  84,  74N, 1200W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP03,  90,  80N, 1208W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,   0,  65N, 1038W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,   6,  73N, 1049W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  12,  69N, 1068W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  18,  71N, 1082W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  24,  76N, 1099W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  30,  69N, 1117W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  36,  65N, 1129W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  42,  70N, 1133W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  48,  67N, 1151W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  54,  66N, 1162W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  60,  72N, 1172W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  66,  70N, 1194W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  72,  74N, 1200W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP04,  78,  74N, 1221W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,   0,  67N, 1037W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,   6,  73N, 1048W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  12,  70N, 1063W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  18,  69N, 1078W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  24,  70N, 1090W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  30,  70N, 1108W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  36,  72N, 1123W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  42,  66N, 1136W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  48,  78N, 1146W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  54,  73N, 1159W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  60,  73N, 1172W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  66,  66N, 1186W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  72,  77N, 1206W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  78,  79N, 1211W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  84,  89N, 1228W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  90,  84N, 1231W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05,  96,  88N, 1249W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP05, 102,  90N, 1255W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,   0,  67N, 1037W,  27, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,   6,  75N, 1049W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  12,  75N, 1068W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  18,  76N, 1082W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  24,  74N, 1094W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  30,  77N, 1110W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  36,  77N, 1121W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  42,  76N, 1138W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  48,  73N, 1147W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  54,  67N, 1159W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  60,  77N, 1176W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  66,  75N, 1196W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  72,  75N, 1218W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  78,  76N, 1224W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP06,  84,  73N, 1246W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP07,   0,  66N, 1039W,  25, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP07,   6,  72N, 1053W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP07,  12,  69N, 1070W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP07,  18,  70N, 1087W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP07,  24,  67N, 1099W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP07,  30,  65N, 1105W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP07,  36,  66N, 1117W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,   0,  68N, 1031W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,   6,  72N, 1038W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  12,  71N, 1051W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  18,  72N, 1059W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  24,  73N, 1070W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  30,  69N, 1079W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  36,  70N, 1090W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  42,  62N, 1100W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  48,  70N, 1119W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  54,  68N, 1129W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  60,  66N, 1149W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  66,  70N, 1158W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  72,  71N, 1168W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  78,  70N, 1176W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP08,  84,  76N, 1199W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP09,   0,  66N, 1037W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP09,   6,  71N, 1050W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP09,  12,  68N, 1069W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP09,  18,  67N, 1083W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP09,  24,  64N, 1095W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP09,  30,  56N, 1102W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP10,   0,  65N, 1037W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP10,   6,  72N, 1047W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
