AL, 13, 2008100418, 03, AP15,   0, 170N,  876W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP15,   6, 172N,  876W,   8, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP15,  12, 173N,  881W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP16,   0, 169N,  878W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP16,   6, 167N,  879W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP17,   0, 170N,  877W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP17,   6, 169N,  878W,   8, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP18,   0, 169N,  878W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP18,   6, 168N,  879W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP18,  12, 171N,  888W,   9, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP18,  18, 175N,  897W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP19,   0, 168N,  878W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP19,   6, 167N,  882W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP20,   0, 169N,  880W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP20,   6, 169N,  882W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP20,  12, 172N,  893W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP20,  18, 172N,  906W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AVNO,   0, 166N,  880W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD,  12, 186N,  899W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD,  24, 195N,  918W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD,  36, 205N,  934W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD,  48, 216N,  944W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD,  60, 228N,  950W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD,  72, 240N,  947W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD,  84, 252N,  925W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD,  96, 263N,  883W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD, 108, 278N,  826W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMD, 120, 301N,  774W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM,  12, 184N,  901W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM,  24, 190N,  923W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM,  36, 199N,  944W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM,  48, 207N,  959W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM,  60, 212N,  972W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM,  72, 214N,  986W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM,  84, 213N, 1005W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM,  96, 211N, 1027W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM, 108, 211N, 1051W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMM, 120, 217N, 1073W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS,  12, 182N,  903W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS,  24, 187N,  927W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS,  36, 192N,  949W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS,  48, 195N,  967W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS,  60, 196N,  987W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS,  72, 192N, 1012W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS,  84, 188N, 1045W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS,  96, 185N, 1076W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS, 108, 181N, 1101W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, BAMS, 120, 175N, 1121W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLIP,  12, 180N,  890W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLIP,  24, 183N,  900W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLIP,  36, 188N,  910W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLIP,  48, 191N,  917W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLIP,  72, 202N,  930W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5,  12, 181N,  889W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5,  24, 184N,  897W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5,  36, 188N,  902W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5,  48, 194N,  906W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5,  60, 200N,  910W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5,  72, 207N,  910W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5,  84, 216N,  907W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5,  96, 224N,  908W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5, 108, 233N,  906W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, CLP5, 120, 241N,  903W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,   0, 178N,  880W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,  12, 184N,  901W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,  24, 190N,  923W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,  36, 199N,  944W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,  48, 207N,  959W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,  60, 212N,  972W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,  72, 214N,  986W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,  84, 213N, 1005W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP,  96, 211N, 1027W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP, 108, 211N, 1051W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSHP, 120, 217N, 1073W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,   0, 178N,  880W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,  12, 184N,  901W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,  24, 190N,  923W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,  36, 199N,  944W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,  48, 207N,  959W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,  60, 212N,  972W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,  72, 214N,  986W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,  84, 213N, 1005W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS,  96, 211N, 1027W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS, 108, 211N, 1051W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, DSNS, 120, 217N, 1073W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,  12,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,  24,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,  36,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,  48,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,  60,   0N,    0W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,  72,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,  84,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN,  96,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN, 108,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, IVCN, 120,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,   0, 178N,  880W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,  12, 185N,  891W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,  24, 198N,  905W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,  36, 208N,  919W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,  48, 216N,  930W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,  60, 232N,  942W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,  72, 242N,  945W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,  84, 252N,  947W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR,  96, 261N,  944W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR, 108, 272N,  948W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LBAR, 120, 278N,  951W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,   0, 178N,  880W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,  12, 184N,  901W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,  24, 190N,  923W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,  36, 199N,  944W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,  48, 207N,  959W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,  60, 212N,  972W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,  72, 214N,  986W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,  84, 213N, 1005W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM,  96, 211N, 1027W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM, 108, 211N, 1051W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, LGEM, 120, 217N, 1073W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, NGPS,   0, 170N,  876W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, NGPS,   6, 163N,  880W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,  12,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,  24,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,  36,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,  48,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,  60,   0N,    0W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,  72,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,  84,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5,  96,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5, 108,   0N,    0W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHF5, 120,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHFR,  12,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHFR,  24,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHFR,  36,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHFR,  48,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHFR,  60,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHFR,  72,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,   0, 178N,  880W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,  12, 184N,  901W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,  24, 190N,  923W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,  36, 199N,  944W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,  48, 207N,  959W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,  60, 212N,  972W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,  72, 214N,  986W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,  84, 213N, 1005W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, SHIP,  96, 211N, 1027W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
